	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
TCGA-AR-A1AH-01A-11R-A12D-07	8.39720531		-1.40781493	1.58164037	4.42203317	8.65078734	7.57157682	8.39903994	9.11670952	10.97922944			-0.03804932	8.81077585	8.03661763	7.04263849
TCGA-AN-A03Y-01A-21R-A00Z-07	9.04309238		0.9965092			6.42063574	6.74309115	4.95913097	8.72170535	11.25134372	4.37094785			6.58925269	8.09290002	6.57340044
TCGA-BH-A0HQ-01A-11R-A034-07	10.45418678	-0.14849648	-1.51558001		5.93400371	7.08233581	7.33342775	7.42742058	7.7054552	10.07648695	1.90430235		-1.25538881	7.80704835	8.49983917	5.84007968
TCGA-AC-A3BB-01A-21R-A19W-07	9.98718517	-0.59899109	0.38630612		3.43568693	7.12610224	8.24248426	7.7436133	7.64059636	7.82242382	4.22796641		0.54723963	7.97556412	8.56670941	8.75898108
TCGA-A8-A08B-01A-11R-A00Z-07	10.24430796	1.14873345				7.05992229	3.30894288	4.45114536	7.71184534	10.97907845	3.42959604			5.84007968	8.06056068	5.91190629
TCGA-EW-A1PC-01B-11R-A21T-07	11.832116	-1.33324446	-0.17484201	1.55420975		7.79089475	7.15963818	5.31509997	7.88273203	4.34923765	5.10776891		1.41607461	6.76252275	8.76961503	6.19745918
TCGA-A8-A081-01A-11R-A00Z-07	8.96279964	1.10484649	1.79787627		3.25898138	8.15842913	7.85785723	4.22663726	8.24725867	4.29339532	7.18595286		0.94858775	7.40546852	8.02361982	7.06342017
TCGA-E2-A10B-01A-11R-A10J-07	10.4616859	-0.39316515	1.1663516			7.78931248	6.81786183	6.85551231	8.26441139	7.49665589	4.377599		-0.87328384	7.05828529	8.68452848	6.6711116
TCGA-BH-A1EU-01A-11R-A137-07	11.26688786	-0.38951416	0.95484559	-0.23719242	4.76666519	8.15453704	9.96961497	8.22438029	8.65181442	1.37140029	3.61428137		1.51244528	9.11978048	8.4583501	10.14246088
TCGA-A2-A0CL-01A-11R-A115-07	9.08274442			-0.0569147	4.70181992	7.85122368	11.30067914	6.10652922	7.47138201	7.03844882	3.77618194		0.10981957	9.05050704	8.20782971	11.16799694
