	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
TCGA-C8-A1HF-01A-11R-A137-07	10.20998662				1.4830572	7.2515374	7.0431414	6.46479373	7.93200909	11.36544511	5.63048417		-0.61870018	7.88694191	8.1828247	7.62452914
TCGA-BH-A0BD-01A-11R-A034-07	10.61055621	1.15199872		-0.27466602	3.79301737	7.6679905	9.80265663	6.33477908	7.62632458	6.98590039	2.50312308			8.05115211	8.27493642	7.81590171
TCGA-AR-A0TV-01A-21R-A084-07	9.36435331	0.61043169				8.42716723	6.78580928	4.18474183	7.7454857	11.82653045	5.91272376			6.93574547	7.42034112	7.94870721
TCGA-AR-A0U3-01A-11R-A109-07	9.81063339		2.47385508			7.45590741	6.65275229	5.31681884	7.51182862	11.66258582	4.46299411	-1.44749478	1.06347824	7.47891899	8.6082066	6.54893662
TCGA-D8-A1J8-01A-11R-A13Q-07	10.45832181	0.26750435	1.03470797		0.12891942	8.84135112	6.93067643	6.07761351	8.50657211	11.61147038	4.91146533		-0.71831664	8.67686357	8.98421426	7.71693348
TCGA-D8-A1JE-01A-11R-A13Q-07	10.59245859			1.9352158	0.0959799	8.06707169	7.57286202	5.53024122	8.29099193	11.81833848	2.93238855			8.05363425	8.27565867	6.95972735
TCGA-D8-A145-01A-11R-A115-07	9.87173264		1.79493018	2.14927775	4.67849562	7.47515426	8.93775298	8.79937046	9.02935739	4.78051226	1.56035154	1.94964723	-0.54812086	7.86617463	8.67212721	7.19525485
TCGA-D8-A13Z-01A-11R-A115-07	9.1589862	0.92662644	0.19290546	-0.32703294	6.98372263	7.55371755	8.09822081	6.48990189	9.20428065	8.77433897	2.76398475		-0.96374336	8.43633967	8.66987787	7.50459277
TCGA-AO-A0JG-01A-31R-A084-07	10.04064054	-0.44162115	-0.3548009	1.49846877	5.75297902	8.29050742	9.05272968	8.11017749	8.50328603	5.58891992	3.03398614	-0.93032169	-0.8514535	7.65083383	8.79373501	8.02235365
TCGA-BH-A1F8-01A-11R-A13Q-07	9.94183913					8.96216347	7.45911796	5.75710663	8.54149413	11.37088157	7.22038014			7.62994061	8.30309681	7.087874
TCGA-BH-A0B2-01A-11R-A10J-07-1	9.83262162	-0.74171934	1.21576755	0.85576135	3.78707671	7.26883201	8.16769084	7.52970846	8.06565244	4.67991221	2.14653236			8.1828247	8.45421477	8.70421165
TCGA-EW-A1IZ-01A-11R-A13Q-07	9.40181013	0.73283197		1.77590845	6.74431401	7.67153838	7.51772975	7.51302091	7.83430821	9.67405235	3.58402491	-1.18488687	1.37846056	7.64155811	7.57693091	8.43072533
TCGA-A2-A0EM-01A-11R-A034-07-1	9.90964697			0.65422538	-0.76561048	8.33590162	7.14755207	5.90452241	7.89223159	11.74617246	0.70743882		0.81700701	7.52234349	8.24841421	6.70567129
TCGA-A8-A09I-01A-22R-A034-07	9.39786684	3.85954246	-0.0569147	-0.02306122	-0.40581481	8.29858627	6.60154006	4.6378703	7.56388128	9.92572747	2.55209069		0.82563499	7.82673831	7.90919478	6.60572324
TCGA-A8-A091-01A-11R-A00Z-07	9.28206452	1.29116034			2.02330513	7.32789072	7.61623133	5.64189465	7.95144528	8.81404228	1.59709336		-0.57057745	7.23959592	8.79296267	6.03912857
TCGA-OL-A5RY-01A-21R-A28M-07	9.54721319		0.19704282	1.28289526	3.14947982	6.87046927	10.40116813	7.75703877	6.84837191	9.78746828	1.6502189	-1.4787832	0.95843237	7.98883553	8.6779076	9.52488035
TCGA-AC-A7VB-01A-11R-A352-07	10.01661262			0.97285578	-1.85370346	7.75260665	6.52770573	3.98717634	8.15389951	10.21146105	5.92245082		1.42374919	6.29397808	9.00649352	4.23375389
TCGA-AN-A046-01A-21R-A034-07	8.88174274		0.39698112		1.91606556	8.29294605	7.25878142	5.86189227	8.12700424	9.76231278	4.39546826			7.62846872	7.9847296	8.77071851
TCGA-E2-A1IL-01A-11R-A14D-07	11.07784946				1.87049706	7.54784297	7.42971173	6.49277326	7.70053779	8.97729074	1.41444056		2.18440261	7.29837277	8.29943576	5.59461308
TCGA-BH-A0GY-01A-11R-A056-07	11.03924639	-0.24618317	1.80545151		5.5677399	8.12169255	8.54568866	6.1615619	7.61193246	8.18246039	2.70732613	-1.40469224		8.68298373	8.75826828	8.94629728
TCGA-BH-A6R8-01A-21R-A33J-07	10.15453744	-0.30065593	4.33442283		-0.60921626	7.58507799	6.14458972	4.74421223	7.42840794	11.38650271	4.27232034		1.43302397	6.40112894	8.22472008	6.61395276
TCGA-E9-A227-01A-11R-A157-07	10.60850587	1.82438024		-0.1421063	2.96469383	7.5408697	8.52579489	6.57085809	7.91659237	7.49665589	3.33694441		0.07509566	7.60758274	8.53608575	8.04410578
TCGA-HN-A2NL-01A-11R-A18M-07	9.62409483			3.81348426	11.77799945	6.58335584	6.12258011	11.17202901	7.81160694	7.34964708	4.20086832		1.15823995	7.91081041	8.15842913	7.06446044
TCGA-D8-A27I-01A-11R-A16F-07	10.98905762			0.19918875	6.93464407	7.27702317	9.66645039	9.07762021	7.88196634	1.88077123	3.73300231	3.18883981	-0.20794716	8.36801523	8.27464747	8.45719526
TCGA-E2-A14Z-01A-11R-A115-07	9.67632669				4.154486	6.32127981	7.76513707	7.08299312	8.17438582	9.36476129	2.95724725			7.58958841	8.46281699	8.83395207
TCGA-BH-A0BG-01A-11R-A115-07	9.64874008	0.25466713	-1.35955764	2.21716023	8.04827923	7.70510632	7.19525485	9.76505235	8.5023437	7.10403598	2.4519096			9.28756021	8.43037726	8.30240883
TCGA-E9-A2JT-01A-22R-A18M-07	8.68715103					7.34132682	8.65787562	6.30621332	8.31980512	8.7321303	4.60649607		-0.39543502	8.78682656	8.17798914	10.4007106
TCGA-AC-A3QQ-01A-11R-A22K-07	11.19013117	1.67096425	0.28120624		2.68333146	8.35523213	8.47224265	7.28146357	8.74872094	11.85449239	3.02370712		2.13794685	8.50608837	8.49231555	8.13948832
TCGA-AN-A0FD-01A-11R-A034-07	8.86829343		0.26574149	0.28120624	3.3065664	7.98146518	7.16810562	6.61471444	7.83736184	11.79996276	1.32678886		1.57408465	7.61973779	8.10941252	5.58853434
TCGA-A2-A25E-01A-11R-A169-07	8.90780944	-0.30065593	-1.47184732		4.90634554	8.28531731	8.13788178	6.75225447	7.88975717	10.24694178	4.24627572			7.480545	8.17679924	8.88792878
TCGA-AO-A0JD-01A-11R-A056-07	10.47281106	1.41310007	1.63641839		6.77065165	7.34882608	7.05941918	6.61604079	8.12889036	8.98470648	4.94886049	-0.20794716		7.8674584	10.84492303	7.44443733
TCGA-D8-A1XM-01A-21R-A14M-07	9.23705382	-0.35892831		0.68793604	1.68200774	7.84908041	7.99517665	7.15963818	8.38033008	4.23350589	1.27189972		0.00653615	8.55535883	8.79341255	8.04410578
TCGA-A8-A095-01A-11R-A00Z-07	10.82702275		3.31389374	0.33659369	1.42982949	7.80222469	7.81467733	6.04371892	7.76373323	9.86247914	-0.41035314	-1.20913355	-0.31343371	7.43941208	8.69388258	6.30621332
TCGA-A8-A09Q-01A-11R-A00Z-07	8.70136834				-0.4872121	7.91614167	7.58426943	5.07694813	8.51285577	9.97231437	5.6860352		2.29461043	8.28110447	8.11872685	8.44913672
TCGA-A7-A13F-01A-11R-A12P-07	10.09816213	-0.4190376	2.64569579		3.07768047	7.77144059	11.72621981	5.40497343	8.18945996	11.81203142	1.18405589		0.33077313	7.05941918	7.80987223	6.9185349
TCGA-AR-A0TX-01A-11R-A084-07	10.5026875	-0.3729588	4.08294621		5.30042678	7.78390232	7.64366002	5.69935437	7.88029989	8.97729074	5.18404421	-0.08147917		8.21855981	8.8169788	8.12738654
TCGA-A8-A079-01A-21R-A00Z-07	9.20610408	-0.17705252		2.47927247	-0.45277294	7.91118461	6.3383786	3.78241419	8.28784021	11.28471667	2.2340287		0.72922466	6.26476394	8.35557191	6.31273034
TCGA-BH-A0AY-01A-21R-A00Z-07	9.17696053		-0.07661826			6.87271634	8.35001731	6.02562488	6.65589904	11.53210485	-0.29642336			8.01579161	8.44311586	7.91475581
TCGA-D8-A1XZ-01A-11R-A14M-07	8.70026511	-0.21731749		1.98275202		7.63637395	7.96444353	5.37460964	7.78302636	11.09240139	2.72171252			7.52415682	8.53462534	7.22038014
TCGA-A2-A4S2-01A-12R-A266-07	10.56117689	2.29330278			3.71962964	7.48445303	7.75042848	7.38436066	7.75739602	11.21318287	3.71262411	-1.40781493	-0.61571084	7.55059304	8.38240261	8.28344852
TCGA-A8-A09W-01A-11R-A00Z-07	9.7883221		-0.55663436			7.97512212	7.71018599	5.40299841	7.7476637	11.74670472	2.84674597		-0.29231166	7.52509412	7.94664085	6.41163689
TCGA-LL-A442-01A-11R-A24H-07	10.80739356	-0.25441851	-1.45830999	0.53271598		7.87637981	7.28577698	5.48140844	7.91081041	11.87592419	6.89210251		-0.59236653	6.86924686	8.24006395	7.50360503
TCGA-S3-A6ZF-01A-32R-A32P-07	9.49912953		-1.40624515	0.63072952	5.66731491	7.93821548	6.84184569	4.40974451	7.16139526	4.78051226	4.54354809		0.7512772	8.52540416	8.22901903	8.05210401
TCGA-BH-A8FZ-01A-11R-A352-07	9.55258046		1.31254958	-0.19742375	6.71206587	7.77061515	8.36576431	8.81183662	7.73866253	2.07732386	6.66288734	4.04830722	2.17206757	9.15643301	7.94870721	9.56789238
TCGA-A2-A04W-01A-31R-A115-07	10.12633298	-0.10674541	0.61801373	1.67725651		7.32743928	7.54459905	7.88570838	7.4479195	11.80790736	2.81497793			6.99755166	7.66684123	7.8574235
TCGA-AR-A2LK-01A-11R-A180-07	10.62674753		-0.25822121		-0.6305361	7.52596287	6.80262662	5.29829385	7.38798166	9.68500838	5.02244265		0.50692974	7.65112356	9.3095769	6.68078502
TCGA-A8-A093-01A-11R-A00Z-07	10.51153357		-0.27270912		-0.72938778	7.25919931	7.19898124	5.6860352	7.91694094	11.78933144	-0.15273429		-0.87736596	7.20614279	8.61225575	4.85767023
TCGA-BH-A0BV-01A-11R-A00Z-07	9.202508	0.78097847			-0.84747841	7.00940741	8.00944138	5.49241111	8.11837836	11.85875501	4.50171101			7.40913928	8.67648164	7.35940847
TCGA-A1-A0SI-01A-11R-A144-07	9.78879679		1.69267339	3.82160107	7.2566592	7.40964252	7.46952553	8.96897616	8.06440285	7.34964708	2.73382437			8.22938421	8.49756346	8.02706289
TCGA-A2-A0EV-01A-11R-A034-07	9.31427541	-0.36072266			1.99463138	8.00005655	7.9506714	6.12418646	8.08802203	9.23121695	5.21614582		0.77084044	7.86076565	8.37205754	7.41219737
TCGA-E2-A10A-01A-21R-A115-07	9.39709519	1.47345446		2.41194408	4.95102162	7.89594788	8.69776145	4.49752538	7.80496405	10.54501996	2.94048097			7.3269275	7.80937913	7.71474685
TCGA-AR-A24W-01A-11R-A169-07	11.2438435		-0.54281049	2.52623117	6.37102786	8.18134585	9.94932353	9.91571597	8.16491275	3.51299513	2.95058045	3.05326425	-1.12767634	9.03737461	7.91516396	8.51645542
TCGA-BH-A1ET-01A-11R-A137-07	10.99599539	-1.43218702	3.49743232	-0.25049558	3.4678686	8.23961361	8.36477087	7.45253502	8.409121	8.96847583	1.86606878		1.60769448	8.13948832	8.56306771	7.16760246
TCGA-AO-A1KO-01A-31R-A13Q-07	11.1312251			0.70565253	8.95328049	7.79364201	9.56841815	10.75191868	8.56670941	4.61948934	-0.23953575	0.83097072	2.01474348	10.15969849	8.63684062	7.7140149
TCGA-3C-AALK-01A-11R-A41B-07	9.94038981	1.27189972	-0.4796324	2.69255289	6.93911791	7.34367948	7.93548663	7.61973779	7.51451062	4.71603382	3.19700542	-0.23953575	0.96967376	7.57693091	8.23145716	7.66924965
TCGA-AC-A8OS-01A-12R-A41B-07	10.46037247	0.55254362	-0.12905776	-0.11085036	2.55086677	7.31499086	8.59440319	8.42849247	8.10262316	2.80292469	3.66414352	0.04371947	0.41237198	8.02433399	8.11200473	7.46269588
TCGA-BH-A0B9-01A-11R-A056-07	9.78064208	-0.16140746	-0.2351433	1.74023943	8.76194317	6.8885672	6.33763393	8.69432401	7.47138201	1.50971471	2.53584529			8.30733554	8.5023437	8.24806602
TCGA-EW-A1P4-01A-21R-A144-07	8.90344821		0.14268125	2.1889222	8.72130645	6.83096055	9.39998688	5.41534294	7.97257113	9.22259752			0.97953817	8.50876269	8.32857874	7.46522537
TCGA-LL-A440-01A-11R-A24H-07	10.33493804			0.97781486	4.45114536	7.21757476	10.1761649	9.28206452	7.38286176	1.25670979	4.81167457	2.68471889	0.53055202	9.15429538	8.22472008	8.81736908
TCGA-AC-A3EH-01A-22R-A22K-07	10.33727674	1.87619423	2.01909529		3.31266672	6.891522	6.38930414	5.49441077	7.64767696	11.25661721				6.80755823	8.49516859	6.3383786
TCGA-B6-A1KN-01A-11R-A13Q-07	11.04013585	3.59057481		2.70866842	4.60457653	8.08837884	8.92565365	7.06179084	8.36801523	8.38119561	5.63476124	-0.16561356	1.67725651	7.7445498	8.18685164	7.04216875
TCGA-BH-A42V-01A-11R-A24H-07	9.92968447		1.55874246		6.69409137	6.98237436	9.38200915	8.77765245	8.04997068	2.61324724	4.08992744	4.63144866	0.2751057	7.75176417	8.5877475	7.65112356
TCGA-AQ-A1H2-01A-11R-A13Q-07	9.64064386	0.33842309	0.37856931	1.92505049		8.21726014	5.5330999	7.25362505	7.1353331	11.70957009	3.30894288		1.21576755	6.41794476	8.62874235	6.53308285
TCGA-E2-A1L6-01A-11R-A13Q-07	10.1721224	-0.58277164	-0.55983326	0.50487537	6.01686813	8.14926003	8.44573887	8.01699889	8.07209537	5.06528487	3.97095119	3.82656838	1.50149853	8.10066004	8.30933119	7.98838462
TCGA-BH-A0AW-01A-11R-A056-07	9.26220117	-0.24168811		0.86574089	10.3783828	7.68094088	8.60097374	5.93489071	8.27123196	11.20396234	5.10491407		0.94689538	8.60241682	7.8271125	8.83352779
TCGA-E2-A10E-01A-21R-A10J-07	10.52735265	0.95484559		-0.23719242	3.34323894	8.01651421	7.02052614	6.33057546	7.87742575	7.95332834	3.05212459		0.47909222	7.52875517	8.34696835	7.46309634
TCGA-BH-A0DK-01A-21R-A056-07	10.07309256				4.64633425	7.35223324	9.08568822	7.2199366	7.6600845	8.16075937	0.65974059	-1.30824834		8.76571128	8.60024368	8.82224884
TCGA-BH-A0W3-01A-11R-A109-07	9.98566795		1.69107996		-0.31539906	7.85241434	5.49819305	3.81211619	7.92997654	11.85184837	0.39861218	-1.33862497		6.2316223	8.21543384	5.57668243
TCGA-BH-A201-01A-11R-A14M-07	9.91020641	2.06950986	-0.26707786	1.69267339	5.07994639	8.05616698	8.6493781	8.20234902	8.24089626	2.7941946	3.03128571	3.48390663	1.08144083	9.58018628	8.18798147	7.55420275
TCGA-A8-A06Q-01A-11R-A034-07	9.86992704	0.68250784			1.87331299	7.5574882	6.73760146	4.78661445	8.11053431	11.36544511	4.68172916		0.91358902	7.7476637	8.1628817	5.7202603
TCGA-A7-A0D9-01A-31R-A056-07	9.08174339					7.61141339	10.82604852	5.5819263	7.72534747	4.87847093	2.90132267		0.4719446	7.62409508	9.00536516	6.13467126
TCGA-AC-A23H-01A-11R-A157-07	8.1229163	0.85738808	2.54696594		0.29236884	8.42167287	6.94771624	5.02452336	8.11475774	10.94268872	3.27016541		1.34098842	7.37152174	8.4311755	5.54947446
TCGA-AR-A1AO-01A-11R-A12P-07	10.46951503	0.47909222		1.16964067	6.99531546	7.53857119	9.72574295	9.72490378	8.01579161	1.65249147	7.61697176	0.70043947	0.26574149	9.66861225	8.77974037	10.44210376
TCGA-E2-A2P5-01A-11R-A19W-07	8.56097918			0.79489092	2.2438211	6.85669196	7.5779781	7.16333125	8.01105665	11.07109402	2.00291235			6.91106068	8.38736171	6.96893116
TCGA-BH-A1FJ-01A-11R-A13Q-07	10.41813245	0.70242398				8.1517921	6.56669989	5.0255363	8.42815255	11.28450364	5.87788195		0.02352581	6.42977748	8.25877034	5.16420051
TCGA-BH-A18P-01A-11R-A12D-07	9.93542281	-0.98085017		0.53651371	2.66323291	7.27326392	7.01230073	4.88049349	7.99764182	11.84017784	1.50787149			7.51864908	8.32857874	6.69272313
TCGA-E2-A15T-01A-11R-A115-07	10.57183576	-0.31343371		1.78450896	3.13680095	7.87588693	6.53029096	5.08502563	8.54652071	11.67364381	4.60752696		0.51835154	6.35895034	8.17131825	6.91292233
TCGA-A1-A0SK-01A-12R-A084-07	7.47515426		-0.36680245	4.89910622	3.76783832	7.88273203	6.10865945	7.25476752	8.86696121	2.48881108	3.11589365	-0.14396372	-0.98537389	10.05470106	8.38078871	5.86363141
TCGA-E2-A14T-01A-11R-A115-07	8.0612828	-0.40773741	1.29608634	0.30819338	3.17394721	7.67814199	7.96785314	6.17874094	7.91274894	8.23679536	4.80032953		-0.10443673	7.32451628	8.27033143	8.52245771
TCGA-EW-A1P1-01A-31R-A14D-07	10.72214736		-0.31343371	0.11217379	7.8744838	7.76587727	10.98433067	9.55658232	7.56052695	5.08000156	5.54213835	1.1392087		9.72312359	7.99005087	9.75112438
TCGA-AC-A2FF-01A-11R-A17B-07	11.08089053	0.47743828	0.85892555		6.57340044	7.25919931	10.17560556	8.96702442	8.58615113	2.29340198	3.07624599			8.68889943	8.9917479	8.34462452
TCGA-EW-A1P5-01A-11R-A144-07	10.21626607		0.59443073	0.24829499	-0.74522754	7.78886998	9.1968505	4.52932032	8.31789338	10.97426833	1.41607461		-0.88897962	7.35812196	8.73122808	7.40781099
TCGA-D8-A1JU-01A-11R-A13Q-07	10.88306275		0.24436387		3.46926235	7.71275565	9.2956339	8.55346541	8.7345296	6.83735838	0.27719728	0.41823542	-0.82051553	8.88874341	8.36996849	8.00782632
TCGA-AO-A0J5-01A-11R-A034-07	9.96727561	-0.19512838		-0.03056019		7.51993409	8.26508248	6.90253759	7.93972921	9.36476129	-0.85498795		1.74023943	8.1292644	8.59625409	6.61810177
TCGA-D8-A27N-01A-11R-A16F-07	10.37129887		0.34565841	2.87971498	2.09128524	8.13343724	8.07474642	6.38930414	8.30017531	9.04783539	4.34878882			7.99005087	8.68187175	6.8649427
TCGA-D8-A1JF-01A-11R-A13Q-07	11.67538565		5.89534634		8.07876615	8.39824177	7.25572176	5.76396741	7.74409879	10.98572952	7.69965272		-0.56535307	7.75345748	8.48591296	6.95972735
TCGA-E2-A159-01A-11R-A115-07	10.42586006		0.91682051	0.20105979	7.28737901	7.58592941	7.99153854	10.01411231	7.33183454	4.89900403	5.73045116			8.3599211	8.50200405	8.51255846
TCGA-A2-A04N-01A-11R-A115-07	9.52829731			1.60469318	-1.01573797	7.60355668	7.272829	6.49070699	7.61024695	8.38119561	1.00802066		-1.11630399	7.64982993	8.5832135	6.96315096
TCGA-OL-A66K-01A-11R-A29R-07	10.00052596			1.70607423	3.56220244	8.15001606	7.61471622	7.34919212	7.26791999	10.22113813	1.91043067	-1.35327709	0.89384046	6.93067643	7.50226778	7.31826299
TCGA-GM-A2DI-01A-31R-A18M-07	10.25516338	0.85069065			4.154486	7.75532032	8.99817916	6.98746117	8.05533403	10.92547362	2.43254556	-0.56535307		8.96171367	8.21821134	10.218978
TCGA-A8-A09K-01A-11R-A00Z-07	8.64530376	-0.14630954	-0.62723039	2.25658793	2.45738681	7.30382561	6.56879565	3.01211225	7.93035057	11.84658513	4.1569833		-0.3646223	7.0260556	7.89738484	6.52518902
TCGA-C8-A130-01A-31R-A115-07	9.00863992				1.89430975	7.03100519	8.01025748	7.3782946	7.90882937	7.02862636	4.33442283	-0.25643176	1.38811736	7.38388396	8.95552047	6.22126231
TCGA-PE-A5DD-01A-12R-A27Q-07	9.58842724					6.29542104	8.05363425	6.35382241	7.75090479	10.98572952	2.85326835		-0.5155239	6.73808902	8.61991307	6.92327314
TCGA-A2-A0SX-01A-12R-A084-07	9.10832846			2.03931116	6.10080378	7.40451469	7.29284127	10.25296012	7.54369632	2.22444402	5.11980797			8.98125324	8.39786795	9.94932353
TCGA-AR-A2LE-01A-11R-A180-07	9.46801908		1.60615563	1.79648172		7.86574077	7.7213488	5.76909831	7.96940024	11.58298059	1.79493018		-1.05336372	7.12424335	8.25353714	6.77615433
TCGA-A1-A0SF-01A-11R-A144-07	10.04629364		-0.14396372		3.20679096	7.41065566	8.54894041	7.54865138	7.82932405	8.05778125	-0.07416939	1.05684504	0.68444095	7.58162146	8.44872886	7.7480211
TCGA-D8-A1XU-01A-11R-A14M-07	9.93401578		1.58790483	1.19525752	-1.90348129	7.89820973	7.47467774	6.55032525	8.52281433	6.65774961	7.26791999		0.11918645	7.99689404	8.36576431	6.90310933
TCGA-E2-A1IU-01A-11R-A14D-07	10.85552122	1.82585019	2.08417149	1.86135422	4.84206453	7.34524755	7.08233581	6.78226197	7.91516396	8.97729074	3.57546159	-1.317402	0.1498087	7.12472094	8.51757617	7.04572596
TCGA-A8-A06P-01A-11R-A00Z-07	9.00829205				-1.9614887	7.04513726	8.75618042	8.10585238	7.40641414	9.18201577	2.52471099		0.77084044	8.35807778	8.54490754	7.35474716
TCGA-C8-A12M-01A-11R-A115-07	8.70582439			1.65935271	1.66815345	7.09493638	7.04513726	2.09971899	8.28748367	11.41264732	2.93362897		-0.44853633	7.4150085	8.20120218	4.78149647
TCGA-AC-A23G-01A-11R-A213-07	9.84329369	-0.20794716			4.82006016	7.1786123	9.0680595	8.65437822	7.08299312	11.23238606	3.42810138		0.33077313	8.42558764	8.10467133	8.55535883
TCGA-BH-A0BF-01A-21R-A12P-07	10.16274939		2.26041174		1.69267339	7.27372433	9.50540404	6.19383694	8.28425544	7.83089152	2.26930283		1.92942513	8.59133864	8.39243172	8.3788183
TCGA-A8-A09V-01A-11R-A034-07	11.2237513		2.17476961	1.30756089	0.02352581	8.08582058	7.0431414	6.14620431	8.43760495	6.30848966	-1.0487045		1.41743389	7.25053135	8.38240261	4.54354809
TCGA-A8-A06O-01A-11R-A00Z-07	10.13500294	-0.35698084				8.64290147	7.69965272	6.12109279	8.39644047	6.98590039	4.6433008		1.23008627	7.59737563	8.25194875	7.42597226
TCGA-E2-A1BC-01A-11R-A12P-07	10.12184975	1.15987421	-0.13833281		-0.29834213	7.8574235	8.29828895	8.70333741	8.39094595	11.83311274	0.28120624		-0.89360336	8.52507308	8.47255673	6.70103689
TCGA-D8-A1JD-01A-11R-A13Q-07	8.99130673		-1.30229849	3.39567861	5.74662516	8.05533403	6.55353563	6.04863981	7.90767332	10.2196918	2.7706303		0.15605307	8.21656356	8.66495525	6.91047975
TCGA-E9-A1NC-01A-21R-A26B-07	9.57045304	-0.55983326			10.56859899	7.2669572	7.25522747	10.07490622	7.28486511	6.30098731	2.9076413			8.33224808	8.72544824	8.40749877
TCGA-A7-A26F-01A-21R-A169-07-1	11.76998933	0.81355472	2.30570618	0.88746345	-1.90348129	7.47467774	8.66313004	8.19822011	7.92214503	6.00937307	2.94270833		0.62890983	9.69080671	8.53757968	8.66098244
TCGA-A8-A07O-01A-11R-A00Z-07	7.1214205	-0.29642336		2.67809875	6.02073861	8.14719557	7.99722547	5.47142231	6.38020183	11.34885963	3.17880478			8.16892254	8.66920722	7.70510632
TCGA-AR-A24L-01A-11R-A169-07	9.84650631	2.54144663		-0.21253436	2.72973227	8.57286436	8.35770386	7.22441259	7.3682503	3.50609408	1.09656844		-0.00308493	8.23923989	7.91274894	5.93561368
TCGA-BH-A0W7-01A-11R-A115-07	10.2973308	-0.82857796	2.3422944	1.30100293	1.69851186	7.11136493	8.09718406	7.11028086	7.66139505	5.80669997	5.23180484	-1.38941013	-1.33604847	7.89010564	8.94331918	8.54759043
TCGA-D8-A140-01A-11R-A115-07	10.87731047		0.73815949	1.60769448	1.46722467	8.12567872	7.51807894	5.98903844	7.94664085	10.2209018	4.83590611		2.5643931	7.67233843	8.33843292	7.13314905
TCGA-C8-A12X-01A-11R-A115-07	8.63352133	-0.03804932			5.3292467	7.52273508	6.87501425	5.74729952	7.13896491	11.59986271	2.8559665			6.42342027	7.29483593	5.43603274
TCGA-EW-A1PA-01A-11R-A144-07	9.47557432	-0.18842042	-1.4643876		2.78414201	8.2457807	7.7547759	8.5877475	7.57837792	6.64832516	4.06196535	-0.3774364	1.20160471	7.99481974	8.43894667	7.35368175
TCGA-A2-A04T-01A-21R-A034-07	7.93495968		-1.4617478	-0.19512838	10.32123597	7.51807894	6.33114193	10.69894177	8.64364839	6.09755186	3.9498365			9.16415183	8.47607189	8.69100472
TCGA-AO-A1KS-01A-11R-A13Q-07	11.17654394		1.82585019		3.91352147	8.41614432	8.14381347	7.14374039	8.35958128	10.2168156	4.28438369	-0.12238587	0.38630612	8.04827923	8.91766933	8.14012587
TCGA-A2-A0CS-01A-11R-A115-07	10.26064632		2.80966422			7.17951593	6.92759379	5.37283894	7.77326031	11.8500022	1.88219713		-0.32519776	7.07863561	8.36609553	6.42002769
TCGA-A2-A1G4-01A-11R-A13Q-07	9.07130858	0.43370438		1.48145146	2.24113678	8.04827923	7.01060217	5.68964587	8.23669043	10.94268872	2.62334116		1.76964819	6.65694233	8.17284791	7.24716551
TCGA-B6-A0RE-01A-11R-A056-07	9.8380635			0.21989665	7.54326257	8.19386988	8.6779076	9.7222249	6.95801219	9.63004873	0.99981047		-0.92680606	7.68817307	8.24394539	6.75225447
TCGA-E9-A1R6-01A-11R-A14D-07	10.27329827		1.21100347			7.64321765	5.9745797	4.01789628	7.54326257	11.8225942	2.44775415		0.41039837	6.37375569	8.11904984	4.43544643
TCGA-A2-A0T2-01A-11R-A084-07	9.09678384			1.52776221	4.97223686	7.3807485	8.10585238	9.73209264	7.57425779	10.58881136	1.03093025		-0.8514535	7.88196634	8.40790633	7.06621812
TCGA-AN-A0FS-01A-11R-A034-07	10.02523233	0.31752725	0.72751947		5.30238405	7.85664952	9.10396836	8.60784988	8.14802831	6.83735838		0.56680687	0.89384046	7.83006412	8.48260993	7.09493638
TCGA-BH-A18Q-01A-12R-A12D-07	9.11414795		1.5359264	3.25235728	3.30971155	7.04263849	8.00693359	10.97458867	8.68263568	2.48881108		1.20613325	0.65248077	8.8913398	7.92927101	7.67107052
TCGA-E2-A15G-01A-11R-A12D-07	10.45037375	-0.17046882	-0.09541595			7.07377054	6.42413899	5.18404421	8.21821134	11.3221065	1.14416237		0.77254214	5.94700588	8.68187175	5.70193325
TCGA-BH-A0BL-01A-11R-A115-07	9.80265663	0.40671503		1.59858315	5.960151	8.08271007	8.6779076	10.67984502	8.02923017	1.5632285	4.35658574	-1.09598786	0.559607	9.26276942	8.63554184	8.58400308
TCGA-EW-A1OX-01A-11R-A144-07	9.26276942			0.72922466		7.98755156	6.71389533	3.92082519	7.83975102	11.81048043	2.33118927		2.02907133	5.6044604	8.00527582	4.99484167
TCGA-BH-A0DD-01A-31R-A12P-07	9.60127164				-0.83192282	8.38118788	5.83233598	4.25971673	8.62834325	11.09926043	7.43303291		0.72561383	6.77065165	7.7436133	7.15081806
TCGA-GM-A3XN-01A-12R-A22U-07	10.28606014	-0.67603817		0.93832803	4.37327151	7.01714718	8.40606361	8.15422252	7.73563375	2.82642968	3.56565429	0.16703664	2.72973227	7.62543133	8.52660123	8.31435136
TCGA-A2-A3KD-01A-12R-A213-07	10.20935955			0.86087882	5.09672774	7.96198673	8.35919881	8.79341255	8.09976773	7.69455144	4.06323331	1.0147444	-0.96374336	7.03834608	8.57838254	7.70330238
TCGA-A7-A4SD-01A-11R-A266-07	9.90650231		1.05684504	1.07373946	7.84859572	7.60930207	6.07151975	7.40964252	7.76513707	9.23214769	3.37208755		-0.25822121	8.58511518	8.47191146	8.12889036
